cont,lngth,grad,vel
0,0,0.4,0.027
0,0,0.716,0.05
0,0,0.925,0.08
0,0,1.098,0.099
0,0,1.226,0.107
0,0,1.427,0.14
0,0,1.709,0.178
0,0,1.872,0.2
0.5,50,0.38,0.022
0.5,50,0.774,0.04
0.5,50,1.056,0.06
0.5,50,1.329,0.111
0.5,50,1.598,0.158
0.5,50,1.799,0.188
1,50,0.41,0.026
1,50,0.577,0.038
1,50,0.748,0.049
1,50,0.927,0.06
1,50,1.09,0.07
1,50,1.239,0.088
1,50,1.496,0.111
1,50,1.744,0.134
1,50,1.915,0.145
1.5,50,0.444,0.014
1.5,50,0.821,0.037
1.5,50,1.141,0.058
1.5,50,1.474,0.082
1.5,50,1.581,0.112
1.5,50,1.983,0.144
1,25,0.462,0.028
1,25,0.705,0.059
1,25,0.987,0.084
1,25,1.154,0.101
1,25,1.479,0.15
1,25,1.786,0.194
1,25,1.957,0.218
1,40,0.419,0.03
1,40,0.705,0.05
1,40,0.979,0.068
1,40,1.226,0.091
1,40,1.47,0.126
1,40,1.744,0.168
1,60,0.436,0.034
1,60,0.65,0.051
1,60,0.889,0.068
1,60,1.222,0.093
1,60,1.477,0.112
1,60,1.726,0.139
1,60,1.983,0.173
